Case Number,Time,Date,Year,Type,Country,Fatal,Injury,Area,Location,Activity,Name,Victim's Gender,Age,Species,Predicted Gender
2018.12.09.a,Morning,09-Dec-2018,2018.0,Unprovoked,AUSTRALIA,N,Five deep lacerations to lower right leg,New South Wales,Nambucca,Surfing,Joel Mason,,36.0,Unknown,Male
2018.11.18,Unknown,18-Nov-2018,2018.0,Unprovoked,AUSTRALIA,N,Severe lacerations to left arm and right leg,Northern Territory,Off Nhulunbuy,Spearfishing,Sean Whitcombe,,17.0,Reef shark x 2,Male
2018.11.17,Afternoon,17-Nov-2018,2018.0,Unprovoked,AUSTRALIA,N,Injuries to calf and hand,New South Wales,"7 Mile Beach, Gerroa",Surfing,male,,24.0,Unknown,Male
2018.11.11.b,Morning,11-Nov-2018,2018.0,Unprovoked,SOUTH AFRICA,N,Surf-ski bitten but no injury to occupant,KwaZulu-Natal,Tinley Manor,Fishing,Bryon Machado,,41.0,"White shark, 3m",Male
2018.11.11.a,Morning,11-Nov-2018,2018.0,Unprovoked,AUSTRALIA,N,Injuries to lower left leg and foot,Western Australia,"Pyramids Beach, Mandurah",Body Boarding,Noah Symmons,,20.0,Sandtiger shark,Male
2018.11.09,Afternoon,09-Nov-2018,2018.0,Unprovoked,BAHAMAS,N,Arc of shallow lacerations to back,Exumas,Compass Cay,Swimming,Asher Jones,,8.0,Nurse shark,Male
2018.11.07.a,Morning,07-Nov-2018,2018.0,Unprovoked,AUSTRALIA,N,20 cm injury to left calf,New South Wales,"Shelly Beach, Ballina",Surfing,Lee Jonsson,,42.0,5' shark,Male
2018.11.05,Afternoon,05-Nov-2018,2018.0,Unprovoked,AUSTRALIA,Y,FATAL,Queensland,"Cid Harbor, Whitsundays",Swimming,Daniel Christidis,,33.0,Unknown,Male
2018.10.24,Morning,24-Oct-2018,2018.0,Questionable,AUSTRALIA,N,Knocked off board by a shark. No injury,Western Australia,"Guillotines surf break, Shire of Augusta Margaret River",Surfing,male,,24.0,Unknown,Male
2018.10.23.c,Afternoon,23-Oct-2018,2018.0,Unprovoked,USA,N,Injury to right foot,Florida,"Near Patrick AFB, Brevard County",Surfing,Sue DeWerff,,24.0,3' to 4' shark,Female
2018.10.23.b,Unknown,23-Oct-2018,2018.0,Unprovoked,USA,N,Minor injury to toe,Florida,"Ponce Inlet, Volusia County",Surfing,male,,29.0,Unknown,Male
2018.10.23.a,Morning,23-Oct-2018,2018.0,Unprovoked,USA,N,Injury to right hand / wrist,California,Farallon Islands,Diving,Ron Elliott,,24.0,Unknown,Male
2018.10.19.b,Morning,19-Oct-2018,2018.0,Unprovoked,AUSTRALIA,N,Injury to upper right arm,New South Wales,Samurai Beach,Body Surfing,Paul Kenny,,50.0,Bull shark?,Male
2018.10.19.a,Evening,19-Oct-2018,2018.0,Unprovoked,NEW ZEALAND,N,Severe lacerations to arm and hand and cut to face,North Island,Baylys Beach,Surfing,Andrew 'Nugget' Brough,,25.0,"White Shark, 3.2m to 3.5m",Male
2018.10.13,Afternoon,13-Oct-2018,2018.0,Questionable,AUSTRALIA,N,"No injury, bumped by shark",Western Australia,Two Rocks near Three Mile Reef,Spearfishing,Steve Oakes,,24.0,"White shark, 5m female",Male
2018.10.11,Morning,11-Oct-2018,2018.0,Unprovoked,USA,N,Black eye,Florida,"Bethune Beach, Volusia County",Surfing,Kara Haun,,24.0,Spinner shark,Female
2018.10.08,Afternoon,08-Oct-2018,2018.0,Provoked,AUSTRALIA,N,Injury to upper left arm by hooked shark PROVOKED INCIDENT,Queensland,Swain Reef,Fishing,Ian Hanson,,55.0,"""reef shark""",Male
2018.08.05,Morning,05-Aug-2018,2018.0,Unprovoked,USA,N,Injury to right calf,North Carolina,"Bald Head Island, Brunswick County",Swimming/Standing,female,,16.0,Unknown,Female
2018.07.29,Unknown,29-Jul-2018,2018.0,Unprovoked,USA,N,Minor cuts to hand,Florida,"St Augustine, St Johns County",Surfing,Hunter Hylton,,14.0,Unknown,Male
2018.07.24,Afternoon,24-Jul-2018,2018.0,Provoked,CHINA,N,Lacerations to fingers PROVOKED INCIDENT,Guizhou Province,Shopping mall aquarium in Guiyang City,Putting hand in shark tank,Xiao Li,,6.0,Unknown,
2018.07.18.b,Afternoon,18-Jul-2018,2018.0,Unprovoked,USA,N,Minor puncture wounds to leg,New York,"Atlantique Beach, Fire Island, Suffolk County",Boogie Boarding,Matthew Donaldson,,13.0,Sandtiger shark,Male
2018.07.18.a,Morning,18-Jul-2018,2018.0,Unprovoked,USA,N,Lacerations to lower leg,New York,"Sailors Haven, Fire Island, Suffolk County",Wading,Lola Pollina,,12.0,Sandtiger shark,Female
2018.07.16.R,Evening,Reported 16-Jul-2018,2018.0,Invalid,USA,Unknown,Single laceration to right thigh inconsistent with shark bite,Texas,Galveston,Surfing,Laura Dean,,24.0,Unknown,Female
2018.07.15,Unknown,15-Jul-2018,2018.0,Invalid,COLOMBIA,Unknown,"Autopsy confirmed death by drowning, shark bite were post-mortem",San Andres and Providencia Archipelago,Provencia,Fishing,Fidelino Gómez Bernard,,62.0,Unknown,
2018.07.14.b,Afternoon,14-Jul-2018,2018.0,Provoked,USA,N,Surf washed the dying shark against her foot PROVOKED INCIDENT,California,"Trinidad Beach, Huboldt County",Wading,female,,58.0,"Salmon shark, juvenile",Female
2018.07.14.a,Afternoon,14-Jul-2018,2018.0,Under investigation,USA,N,"Laceration to left thigh, possibly caused by surfboard",Florida,"Playalinda Beach, Brevard County",Surfing,female,,14.0,Unknown,Female
2018.07.11.b,Afternoon,13-Jul-2018,2018.0,Unprovoked,USA,N,Foot bitten,Florida,"Fernandina Beach, Nassau County",Wading,male,,17.0,Unknown,Male
2018.07.13.a,Afternoon,13-Jul-2018,2018.0,Unprovoked,USA,N,Lacerations to left foot,Florida,"Fernandina Beach, Nassau County",Surfing,Dustin Theobald,,30.0,Unknown,Male
2018.07.11,Morning,11-Jul-2018,2018.0,Unprovoked,USA,N,Minor injury to foot,Florida,"New Smyrna Beach, Volusia County",Surfing,Johnny Kearns,,14.0,Unknown,Male
2018.07.09.R,Unknown,Reported 09-Jul-2018.,2018.0,Unprovoked,BAHAMAS,N,Minor injury to wrist,The Exuma Cays,Staniel Cay,Floating,Katarina Zarutskie,,19.0,"Nurse shark, 5'",Female
2018.07.07,Afternoon,07-Jul-2018,2018.0,Invalid,USA,N,Injury to knee/lower leg,Florida,"John Pennekamp Coral Reef State Park, Monroe County",Snorkeling,male,,24.0,"Injury most likely caused by barracuda, not a shark",Male
2018.07.02,Afternoon,02-Jul-2018,2018.0,Unprovoked,USA,N,"Minor injury, puncture marks to left lower leg",South Carolina,Myrtle Beach,Boogie boarding,Peyton Force,,11.0,Unknown,
2018.06.25,Evening,25-Jun-2018,2018.0,Boating,USA,N,"No injury to occupant, outrigger canoe and paddle damaged",California,"Oceanside, San Diego County",Paddling,Julie Wolfe,,57.0,White shark,Female
2018.06.18.b,Unknown,18-Jun-2018,2018.0,Provoked,USA,N,Injury to fingers while removing hook from shark PROVOKED INCIDENT,Florida,"Near the Bahia Honda Bridge, Monroe County",Fishing,Cody Wabiszewski,,24.0,Nurse shark,Male
2018.06.18.a,Afternoon,18-Jun-2018,2018.0,Unprovoked,USA,N,Minor injury to left thigh,Georgia,"St. Simon Island, Glynn County",Standing,Adyson McNeely,,11.0,Unknown,
2018.06.09,Morning,09-Jun-2018,2018.0,Invalid,USA,N,Injury to left lower leg from surfboard skeg,Hawaii,"Habush, Oahu",Surfing,John Denges,,48.0,Unknown,Male
2018.06.08,Unknown,08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,N,Minor injury to lower leg,New South Wales,Arrawarra Headland,Surfing,male,,24.0,2 m shark,Male
2018.06.04,Unknown,04-Jun-2018,2018.0,Provoked,MEXICO,N,Lacerations to leg & hand shark PROVOKED INCIDENT,Colima,La Ticla,Free diving,Gustavo Ramos,,24.0,"Tiger shark, 3m",Male
2018.06.03.b,Unknown,03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,N,"No injury, board bitten",New South Wales,"Flat Rock, Ballina",Kite surfing,Chris …,,24.0,Unknown,Male
2018.06.03.a,Afternoon,03-Jun-2018,2018.0,Unprovoked,BRAZIL,Y,FATAL,Pernambuco,"Piedade Beach, Recife",Swimming,Jose Ernesto da Silva,,18.0,Tiger shark,Male
2018.05.27,Unknown,27-May-2018,2018.0,Unprovoked,USA,N,Minor injury to foot. PROVOKED INCIDENT,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,male,,52.0,"Lemon shark, 3'",Male
2018.05.26.b,Afternoon,26-May-2018,2018.0,Unprovoked,USA,N,Lower left leg bitten,Florida,"Cocoa Beach, Brevard County",Walking,Cody High,,15.0,"Bull shark, 6'",Male
2018.05.26.a,Afternoon,26-May-2018,2018.0,Unprovoked,USA,N,Minor injury to foot,Florida,"Daytona Beach, Volusia County",Standing,male,,12.0,Unknown,Male
2018.05.24,Morning,24-May-2018,2018.0,Provoked,AUSTRALIA,N,Minor bite to hand by captive shark. PROVOKED INCIDENT,Queensland,Cairns Aquarium,Feeding sharks,male,,32.0,Grey reef shark,Male
2018.05.21,Unknown,21-May-2018,2018.0,Unprovoked,USA,N,Injuries to lower right leg and foot,South Carolina,"Isle of Palms, Charleston County",Boogie boarding,Trey de Boer,,10.0,Unknown,Male
2018.05.13.b,Afternoon,13-May-2018,2018.0,Unprovoked,USA,N,Severe bite to right forearm,South Carolina,"Hilton Head Island, Beaufort County",Swimming,Jei Turrell,,10.0,Unknown,
2018.05.13.a,Morning,13-May-2018,2018.0,Invalid,ENGLAND,N,Injured by teeth of a dead porbeagle shark he was tossing overboard.,Cornwall,Off Land's End,Fishing,Max Berryman,,21.0,Invalid incident,Male
2018.05.00,Unknown,May 2018,2018.0,Provoked,AUSTRALIA,N,Shallow lacerations to finger PROVOKED INCIDENT,Westerm Australia,Dugong Bay,Feeding sharks,Melisa Brunning,,34.0,"Tawny nurse shark, 2m",Female
2018.05.12,Morning,12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,N,"Minor injury, marks on board",Eastern Cape Province,"Nahoon Beach, East London",Surfing,male,,24.0,Unknown,Male
2018.05.09,Morning,09-May-2018,2018.0,Questionable,AUSTRALIA,N,"No injury, surfboard damaged",New South Wales,"Sharpes Beach, Ballina",Surfing,male,,24.0,Shark involvement not confirmed,Male
2018.04.30.R,Unknown,Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,N,Minor injury to ankle,Hua Hin,Sai Noi Beach,Swimming,female,,24.0,Unknown,Female
2018.04.28.c,Unknown,28-Apr-2018,2018.0,Provoked,USA,N,Forearm bitten by hooked shark PROVOKED INCIDENT,Texas,Galveston Bay,Fishing,Mike Ruthenback,,24.0,Sandtiger shark',Male
2018.04.28.b,Morning,28-Apr-2018,2018.0,Unprovoked,COSTA RICA,N,"No injury, shark bit scuba gear",Cocos Island,Manuelita,Scuba diving,male,,30.0,Tiger shark,Male
2018.04.28.a,Afternoon,28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,N,"No injury, knocked off board by shark",Western Australia,Gearys Beach,Surfing,Adam Murray,,24.0,Unknown,Male
